Monit_MAP_CODE1,Year,GARAGE_mean,BASEMENT_mean,OTHER_COOLING,UNKNOWN_COOLING,FORCED AIR_COOLING,N_COOLING,Y_COOLING,1 AC UNIT_COOLING,A/CON_COOLING,CENTRAL W/AIR COND_COOLING,1_COOLING,0_COOLING,CONDOMINIUM,UNKNOWN_DWELL_TYPE,OTHER_DWELL,SINGLE-FAMILY / OWNER OCCUPIED,TOWNHOUSE,S.FAM.RES
82010100-01,2005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19002100-01,2013,0.0,0.0,0.014472585583078207,0.039521291399944335,0.9460061230169775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03367659337600891,0.04787086000556638,0.0,0.29112162538268854,0.6273309212357362
19002601-01,2011,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1403310759969902,0.028969149736644093,0.0,0.12057938299473288,0.7101203912716328
19002601-01,2006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1834862385321101,0.026422018348623854,0.0,0.11321100917431193,0.6768807339449542
10005200-01,2014,0.7251336898395722,0.0,0.0106951871657754,0.3240641711229946,0.0,0.0,0.0,0.66524064171123,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82011602-01,2009,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19002700-01,2014,0.0,0.0,0.023694130317716746,0.09693053311793215,0.8793753365643511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07862143241787829,0.05977382875605816,0.0,0.11308562197092084,0.7485191168551427
82013700-01,2012,0.8477611940298507,0.8616915422885573,0.031840796019900496,0.136318407960199,0.0,0.009950248756218905,0.3761194029850746,0.0,0.0,0.445771144278607,0.0,0.0,0.0,0.1383084577114428,0.47562189054726367,0.38606965174129354,0.0,0.0
82002000-01,2014,0.5192901234567902,0.8329475308641975,0.0,0.16705246913580246,0.0,0.19405864197530864,0.6388888888888888,0.0,0.0,0.0,0.0,0.0,0.14390432098765432,0.16705246913580246,0.10300925925925926,0.535108024691358,0.05092592592592592,0.0
82012200-01,2011,0.7109826589595376,0.7572254335260116,0.0,0.24277456647398843,0.0,0.049132947976878616,0.708092485549133,0.0,0.0,0.0,0.0,0.0,0.0,0.24277456647398843,0.005780346820809248,0.7514450867052023,0.0,0.0
27005300-01,2007,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19002700-01,2004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10026385224274406,0.05593667546174143,0.0,0.11081794195250659,0.732981530343008
19003100-01,2007,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26791277258566976,0.001869158878504673,0.0,0.09345794392523364,0.636760124610592
10005200-01,2010,0.20775969962453067,0.0,0.007509386733416771,0.6595744680851063,0.0,0.0,0.0,0.33291614518147683,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19002400-01,2014,0.0,0.0,0.03173965447971073,0.06347930895942146,0.9047810365608678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05865809562073122,0.1570912012856569,0.0,0.4877460827641623,0.2965046203294496
27003501-01,2011,0.70036210018105,0.17531683765841882,0.0,0.38986119493059745,0.6101388050694025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82003400-01,2010,0.23076923076923078,0.3076923076923077,0.0,0.9230769230769231,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,0.0,0.3076923076923077,0.0,0.0
